Keyword,Song title,Artist,Release date,Page views,Lyrics
Ginobili,GAME 6,Cal Scruby,,NA,"in this bitch and we bald in the back like Ginobili in this bitch (ha)
A couple hoes trying to"
Ginobili,Push,Pharoahe Monch,2006-09-11,NA,"s awesome, totally
When he rides the bass line like Ginóbili""
I'm—vocally unmatched, globally
With the flow, so"
Ginobili,Fiya Skwad,Ezri,,NA,"Screen
They said it's far fetched
Unless you like Ginobili's height
Then that'll be a long stretch"
Ginobili,Si Ingenting (REMIX),Blvck O,2016-07-10,NA,"her bust it open
Out in Norway
Just balling like Ginobili
I ain't 2 Chainz, but i (skrrt skrrt"
Ginobili,Now,SAFE,,NA,"Couple years they didn't know me
Sixth man like Ginobili
And I learned to get these dollars
Now these"
Ginobili,Different Days,Zac Flewids & Kresnt,,NA,"pass to brodie’s
I ball like Kobe
Left hand Ginobili
You act you know me
But you don’t"
Ginobili,Fortunes,Hoodrich Pablo Juan,2016-08-15,NA,"I can shoot good from afar like I'm Manu Ginobili
I should've listen to what my momma told"
Ginobili,Panda (Freestyle),Phat Geez,,NA,"Laker feel like I'm Kobe
Drop the top like Ginobili
All them clowns around you look like a circus"
Ginobili,Zéro à 100,Sadek,2014-06-27,NA,"pâtisserie, des Lamborghini
Veni, vidi, vici comme Tony P, et Ginobili
Des modèles en bikini qui viendraient tout droit du"
Ginobili,Body,Jimmy Wopo,2017-04-28,NA,"and Black Mamba, I'm dunking like Kobe
Call up Ginobili, ain't a day that lil bro bro ain"
Ginobili,D E M O N K I L L,Lil Tracy,2014-09-04,NA,"me
I got that damn Beretta and I shoot like Ginóbili
Lame nigga mad 'cause his main bitch chose me"
Ginobili,Hold Me,JayDaYoungan,2019-05-17,15846,"you're 24, no Kobe
Chew a Xanny, pain away, Ginobili
Bitch, we in the game and you ain't"
Ginobili,Controlling!,​cashk™️,2021-01-23,NA,"She said she missing the old me
Balling on niggas, Ginobili
Off-White belt with the Chrome jeans
You not"
Ginobili,We Are Not,CMDWN,,NA,"me
I ball like I'm Kobe, free throw like Ginobili
We are not homies
We are not, we are"
Ginobili,What You Sayin’,Young Thug,,NA,"codeine
Get it, drunk it, hit it, hit it, like Ginobili
(Like I said the first time, man, real dripset"
Ginobili,Only Dogs,Big Deiv,2016-01-10,NA,"que, todo se anexa, haciendo buenas mezclas
Como triple de Ginobili en los Spur de Texas
Mientras mas camino encuentro"
Ginobili,Froze Up,Lil Uzi Vert,,NA,"she act like she know me
I be ballin' like Ginobili, (Skrt)
Whippin' it all the way till' my wrist"
Ginobili,Name Dropping,BandGang Paid Will,2017-01-05,NA,"to Kobe
Just a hustling ass nigga who poppin' like Ginobili, nigga
Money
Niggas out here doing all that name"
Ginobili,2014-15 NBA Season Previews,Sports Genius,,NA,"any kind of revolution. With the careers of stars Duncan, Ginobili and Parker supposedly beginning to wind down, this will"
Ginobili,41 Loads,Big Yavo,2020-05-06,NA,"I'm geeked up, rollin'
I shoot the car at Ginobili (Baw, baw)
I throw the pack like I'm"
Ginobili,Bad Like Mike,Offset,,NA,"Thots)
The rats give police advice (Rats)
I'm ballin', Ginobili, goodnight (Ball)
Broke niggas, move, you trife (Move)
Ice"
Ginobili,AIM,Tyga,,NA,"Poparazzi recording
Recording my oasis only
Always on point like Ginobili
Come guard me
She don't know me by"
Ginobili,S.G.G.,Thouxanbanfauni,2016-09-30,NA,"Rollies never tock
Ballin' Harlem Globe, 24 cold
Texas tea Ginobili, I just got her throat
Splur Gang go, you"
Ginobili,Where Dey Do Dat,Meek Mill,2010-08-25,NA,"up in the spur I'm balling on them like Ginóbili
Swish, that's a bad bitch for three there"
Ginobili,Basketball’s Greatest,Sports Illustrated,2014-10-21,NA,"Jerry Sloan
10. Lenny Wilkins
Best Sixth Men
1. Manu Ginobili
2. John Havlicek
3. Vinnie Johnson
4. Kevin McHale"
Ginobili,Contribution Log,​peaker,,NA,"1, 2, 3
LeBron James and Dwyane Wade 1
Manu Ginóbili 1
Scottie Pippen 1
Tim Duncan 1
Michael Jordan"
Ginobili,#Yakoi,Black Kent,,NA,"1, 2
Stylo illy balle en main un peu comme Ginobili
Minimum milli milli puis je file au Chilli
Puis"
Ginobili,Livin How I’m Livin,KirbLaGoop,2017-06-28,NA,"they all phony
Cross da track with the pack like Ginóbili
Back back boy, I'll take yo sacks in"
Ginobili,TNT Cypher,Inside the NBA,2014-12-18,NA,"a drug that he re-up on
I ball like Ginóbili, you chickens get D-ed up on
Wait, hold"
Ginobili,This Way,Two-9,2017-02-09,NA,"feelin' like Obi Wan
Kenobi, shootin’ with my left hand, Ginobili
Hit me up, sip my cup
Bitch so bad"
Ginobili,On the Acid,Blues (US),2015-10-22,NA,"know
My niggas they let it blow
Smoking Tooka off the dome, boy
Ballin' like the Spurs, like Ginóbili, hoe "
Ginobili,Avianne*,Smokepurpp,,NA,"a pony
Young nigga trappin', and I'm shootin' like Ginóbili
And a g wack, got bands like maloney
Damn"
Ginobili,On Derrick Rose’s Sitting Out Comments,TNT Halftime Crew,2014-11-14,NA,"speculation.
The reason why Tim Duncan sits out and Manu Ginobili sits out and Parker sits out is because they"
Ginobili,Givenchy*,Duki,,NA,"solo comen pasta
Tengo a mi' haters diciéndome ""basta""
Modo Ginóbili, no erro canasta
Que se joda el sistema de"
Ginobili,Peewee,1MILL,2021-10-05,NA,"money
This rap game shit funny, huh
กูจะ ball ให้เหมือน Ginóbili
Pussy boy you a phony
You can get slap"
Ginobili,Personal,MaxThaDemon,2020-10-02,NA,"im a trophy
With the left he gon' shoot like Ginobili
Spin a block on a hoe with my shorties"
Ginobili,Jumpman,Drake & Future,2015-09-20,NA,"tempo like I'm DJ Mustard, woo
I hit that Ginóbili with my left hand up like woo
Lobster and"
Ginobili,Mazzette,Mondo Marcio,2016-07-02,NA,"attrezzi
Quando mi cerchi mi trovi qui
Segno da tre, Ginobili
Ti faccio tutto anche i mobili
Questi più che"
Ginobili,Hoop Life,Lil B,2014-05-26,NA,"We like the Spurs, front line don't switch
Even Ginobili, coming off the bench
Even my niggas play hard"
Ginobili,Fifteen Twenty Feet Ocean Nah (Live from the Joco Cruise),Open Mike Eagle,2020-10-16,NA,"know me
It's crazy cause it's like Manu Ginóbili
Fifteen twenty feet ocean nah
Fifteen twenty feet ocean"
Ginobili,I’m Da Main (Remix),Fabolous,,NA,"You know how the man do, Coupe is on Manu Ginobilis
And the truck is on Kobes
Through the bulletproof"
Ginobili,War Season,Lud Foe,2014-04-19,NA,"I ball like I'm Kobe bitch
I dunk like Ginobili bitch
I pulled up on a forgi' bitch
These"
Ginobili,Can’t Have One,Rich The Kid,2013-08-03,NA,"Whipping that brick like its tobi im ballin on top Ginobili
Im scorring on niggas like kobe the  teeths and"
Ginobili,Crab Flow,CMPLX,2019-12-15,NA,"If he wanna run up on me, shoot him like Ginobili
And I'm with the shit, lil' homie, yeah"
Ginobili,2013 NBA Finals Game 7,NBA (Archives),,NA,"0 | 0 | 4 | 3 | 0 | 2 | 1 | -4 | 10
Manu Ginobili, SG    | 35 | 6-12 | 2-5 | 4-4 | 0"
Ginobili,Give No Fucks,Babyface Ray,2019-05-17,NA,"chunks
Big face Rollie, jeans cost an OD
Ballin' like Ginobili, eatin' like I bought some groceries
Twenty racks on"
Ginobili,Run Ya Bands Up,Loso Loaded,2016-12-13,5162,"approach me like you know me
They be shooting like Ginobili, they be shooting niggas OD
That's why I"
Ginobili,From The D To The A (Remix),Skippa Da Flippa,2017-05-31,NA,"cost me guacamole
Step back like Kobe, left hand like Ginobili
Niggas switch up like the seasons
What's the"
Ginobili,DNA Freestyles on Flex (2016) | Freestyle #011,DNA (Battle Rapper),2016-09-08,NA,"like Kobe on both knees
Fuck cheating her man knew, Ginóbili
Now we moving four quarters, OT
And now we"
Ginobili,Stern Cover,Ali Bumaye,2015-06-05,NA,"niemand hat von dir gehört
Deine Nutte macht Dreier wie Ginobili
Großstadtschungel und ich fühl mich hier wie Mogli yeah"
Ginobili,This Ain’t Nun New,Young Slo-Be,2020-07-24,NA,"with the tooly, Durk and Trey, them my snakes
Manu Ginóbili, a sharp shooter, free my ape
Niggas talkin' 'bout"
